불용어 제거 리뷰,키워드,제품명,피부타입,기능,제품종류
22호 수부지 민감성 피부 뒤집어져서 진정될때쯤에 진정 세럼이랑 썼습니다 자극은 살짝 있었고 아침에 데일리 팩으로 부지런히 썼어요 효과는 좋은 거 같습니다 한 번 고민중이신 분들은 세일할때 시험삼아 사서 써보세요 제꺼 뺏어간 언니들이랑 엄마는 그렇다고 합니다 언니들은 아침마다 한 바가지씩 얼굴에 붙여놓고 저처럼 팩으로 썼는데 지성인 큰언니는 여름에 무겁다고 하더라구요 저는 수분이 부족한 수부지라 밤에 크림도 바르고 자는 피부에는 괜찮아요,"22호, 수부지",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
패드가 되게 얇아서 수분감을 가득 머금고있지 않아 가볍게 사용하기 좋아요,"패드가, 되게",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
아 유명한지 알겠다 한달동안 아침에 꾸준히 23장씩 사용해서 한통 다 비워가는데 쫀쫀한 수분막이 형성되면서 화장도 잘먹고 결케어에 엄청난 효과를 봤어요 진자 피부 부들부들해서 미치겠음 토너패드 이거저거 쓰는거 좋아하는데 얘는 못끊겠어요,"유명한지, 알겠다",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
이거슨이거슨 여자친군님에게 드리기위해 발품팔아서구매한것으로서 드리니 아주 만족하셨다고 합니다 유쀼쀼 앞으로도 조은물건 잘 부탁드리옵니다 리브영 만만쉐쁑뺘,"이거슨이거슨, 여자친군님에게",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
구매이유 사용하던 셀퓨전씨 토너패드가 다 떨어져서 올영세일하는 김에 메디힐 마데카소사이드 마스크팩을 워낙 잘 사용했어서 신상패드를 구매해봤어요 사용방법 저한테 토너패드는 활용방면이 여러가지예요 1 세안 후 피부결 정돈 스킨팩으로 활용 2클렌징 워터가 없을 베이스 메이크업 1차세안용도 3메이크업 수정 시 베이스를 가볍게 닦고 수정용도 사용후기 좋은 리뷰가 많은데 갖가지 토너패드를 다 써 본 경험으로써 제가 느낀 점을 솔직하게 쓰도록 할게요 장점보다 단점이 더 느껴져 실망한 제품입니다ㅠㅠ 불편한 점은 큰 집게 입니다 편리성 있게 하시려고 집게 크기를 크게 만드신 거 같은데 집게의 능력이 집기인데 집기 기능을 하지 못해요 패드가 안 집어집니다 토너패드를 사용하면서 중요하게 볼 점은 내용물 입니다 토너패드의 수분함유량 메디힐 토너패드 에센스 함유량이 적어요 30매 쓰고나면 패드가 다 마르겠더라고요 요즘은 점을 보완해서 패드들이 에센스가 넘칠정도로 담겨져있는데 뭐 쓰다보면 에센스가 다 말라서 사용 못 할 거 같은 느낌이 듭니다 저는 민감성 피부를 소유하고 있는데 메디힐 패드는 면이 거즈로 되어진 면이라서 일반적인 엠보싱스킨팩 얇기의 화장솜 두께를 생각하신 분들이라면 뒤로가기를 눌러주세요 ㅎ 거즈가 피부에 예민하게 느껴질 수 있습니다 홀리카 홀리카 에센셜 토너패드랑 똑같은 느낌 패드의 디자인 솜이 사각형인 점은 새로워서 흥미를 느꼈으나 기존 마데카소사이드 마스크팩을 잘 써왔던 저로써는 딱히 손이 잘 않을 거 같아요 리뷰를 봤는데 트러블 제거하고 나서 팩으로 활용하더라고요 저도 아마 용도로 활용할 거 같아요 앞서 강조했듯이 에센스가 적다는 느낌이 들어서 피부에 부착하면 금방 마르고 피부 밀착도가 떨어집니다ㅠ 사진을 보시면 아시겠지만 요즘 토너패드 에센스가 적지 않습니다 손가락으로 누르면 패드가 흠뻑 젖을만큼 들어있다구용 꼭꼭 오프라인 매장에 가서 확인을 해 보시고 구매 하시길 권장드려요,"구매이유, 사용하던",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
메디힐 마데카소사이드 흔적패드 이벤트로 받고 엄마한테 추천해드린 뒤로 정말2 재구매를 했던 제품이예요 항상 더블 세트가 할인을 했어서 샀었는데 이번에는 단독 판매만 할인을해서 엄마만 구매하셨어요 2 좋고 얇은데 닦토하기 나쁘지 않고 얇으니 팩하기도 좋고 한 면은 부드럽고 한면은 까끌해서 앞면으론 각질케어 해주고 나머지 면으로는 피부를 부드럽게 닦아내주기 좋은 제품이에여 닦아내고도 남는 게 하나도 없고 흡수도 빨라서 첫단계로 좋았어요 너무나 좋아하고 너무나 만족스럽게 쓰는 제품입니다,"메디힐, 마데카소사이드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
지겨우니 다른걸 사볼까핳ㅎㅎㅎ 뭐 재재ㅈㅐ재구매중이라 뭘 더 적어야 하늬 그냥 항상 데일리로 사용하는 없어서는 안될 스킨케어 첫 단계 제품,"지겨우니, 다른걸",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
패드가 커서 팩토하기 좋습니당 토너패드도 써봤지만 크기가 젤 커서 좋아요,"패드가, 커서",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
저는 스킨케어 제품 집어서 쓰면 트러블 올라오거나 피부 망가지는데 메디힐은 후기도 넘 좋고 항상 올리브영 상단에 떠 잇어서 관심이 갓엇어요 진심 이거 쓰고 눈 돌아버렸습니다 올리자마자 넘 시원하고 거즈 질감이라 닦토해도 막 해도 안 아파요 얼굴에 밀착도 잘 돼요 패드가 굉장히 얇아요 머리통 막 돌려봤는데 패드 제자리에 잘 붙어잇어요 쓰고나면 피부 촉촉해지고 속당김이란 단어를 잊게 돼요 무조건 사셔야합니다 200매이긴 볼 양 쪽 이마 올리면 금방 쓸 듯 해여 저는 메디힐 마데카소사이드 패드로 정착합니다 넘쭈음,"저는, 스킨케어",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
유명하다던 패드 써보고 피부에 안 맞아서 성분이랑 꼼꼼하게 민감한 피부에 진정도 잘 될 거 같고 성분이 순해서 자극 없을 같아서 믿고 구매했어요 이전에 쓴 패드는 리뷰 아래쪽에 있습니다 현재 여드름은 없는데 예전에 났던 여드름에 붉은 흔적이 있는 피부예요 이름부터가 흔적 패드라서 뭔가 더 보이는 느낌이였는데 며칠 꾸준히 쓰고 있는데 피부에 잘맞는 느낌이 들었어요 거즈로 된 패드라서 그런지 더 자극없이 쓸수있구 따갑거나 불어짐 하나도 없구 닦토로 사용하니까 피부결이 부드러워지는 느낌이 좋고 에센스도 흡수도 빠르고 끈적임이 남지 않으면서도 촉촉함은 오래 유지되는 에센스라서 아침에 사용해도 화장하기 편했어요 꾸준히 써보고 한 달 리뷰 쓰러 올게요,"유명하다던, 패드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
쓰던 거 3통 비우고 벌써 4통째예요 토너팩에 큰 관심이 없었는데 할인할 한 번 샀다가 이제는 저녁에 샤워 후 메디힐 토너패드로 토너팩 안 하면 건조하다고 느껴질 정도예요ㅋㅋㅋ 비타민패드 티트리패드 다 써봤는제 마데카소사이드가 잘 맞는 같아요 토너팩 스킨케어 후에 메디힐 마데카소사이드팩까지 해 주면 붉은기랑 여드름 싹 가라앉더라구용 토너패드는 정착했습니다,"쓰던, 3통",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
더위에 달아오른 피부를 진정하기위해서 팩을 둘러보던 중 마침 11 행사를 하고있어서 구매했어요 지난번에는 마데카를 구매하고싶었지만 종류가 11해서 사용해보지못했는데 이번에 구매해서 잘 사용하고있습니다 에센스를 가득 머금고 있어서 피부에 올려두면 에센스가 아래로 막 흘러내려요 한장으로 붙이고있으면 금방 말라버려서 양볼에는 2장씩 붙여요 마스크패드에비해 일찍 건조되네요 플라스틱 과사용은 자제해주셨으면 좋겠어요 플라스틱 통이 2중으로 고퀄인데 리필도 내장 플라스틱통이라 아까워요 브랜드 리필은 팩에 담겨있어도 잘 썼는데 요건 고려해주셨으면 좋겠네요 메디힐이면 많은 양이 판매될텐데 환경도 생각해주세요,"더위에, 달아오른",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
화장하기전에 이걸로 딱음 화장겁나잘먹음ㅋ 왕창사서 팩하고싶다 후,"화장하기전에, 이걸로",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
마데카소사이드 통 사용하다가 이번에 처음으로 티트리 구입해 봤어요 두께가 얇아서 착 붙어있고 에센스의 양이 과하지 않고 적당한 같아요 오돌토돌한 면 있어서 마지막에 입술 각질 제거 하기에도 좋아요 민감성이라서 못 쓰는 패드가 많은데 성분이 순해서 좋습니다,"마데카소사이드, 사용하다가",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
각질토너 패드로 잘 사용하고 있는 제품 새일 해주세요 메디힐 믿고 사용하는 기초라인,"각질토너, 패드로",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
닦토로도 쓰긴 닦토보다 팩으로 쓰는게 더 좋은 같아요 건조했던 피부결이 정리되고 촉촉해진 같아서 앞으로도 꾸준히 사용해보려고요 두께도 적당하고 패드에 에센스가 적셔져있어서 대만족이네용ㅎㅎ,"닦토로도, 쓰긴",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
순하고 좋아요 흔적이 없어지는진 더 써봐야 알 같지만 토너 양도 많고 올렸을 피부 열이 내려가면서 진정이 되서 좋았어요 토너가 많지도 적지도 않고 적당해서 붙이고 움직이거나 해도 잘 안 떨어져요 리필도 있어서 양도 넉넉한데 구매해보시는 거 추천합니다 전 만족하고 재구매도 할 거에요 제품력은 좋은데요 할머니 댁 가느라 챙겨서 갔는데 꽉 닫았는데도 역시나 다 샜습니다 가방 다 젖고 충전기도 있었는데 실망했고 용기 개선이 필요해 보여요,"순하고, 좋아요",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
한달사용리뷰입니다 트러블도 없었고 패드가 얇아서 머리 말릴 5분 팩하기 좋았어요 올라온 트러블이 진정되거나 붉은기가 가라앉는건 잘 모르겠지만 수분충전은 잘 되어서 패드팩 한 후에 메이크업하면 베이스가 쫀쫀하게 잘 먹더라구요 리필까지 있어서 팍팍써도 부담없는 가격이라 좋아요,"한달사용리뷰입니다, 트러블도",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
메디힐팩 좋아라해서 구매해봤는데 집게로 패드집는게 불편해요 두장씩 집어져요 토너팩 7분정도 했는데 보이시나요 울긋불긋 올라오고 간지러워요 참고로 전 수부지에 민감성입니다 이걸 처리해야되나 모르겠네요,"메디힐팩, 좋아라해서",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
원래쓰던 티트리 트러블패드 다써가서 이번에 마데카소사이드 흔적패드 구매해봤어요 본인 피부타입 수부지 팔짜쪽 입주변 속 건조 심한편 홍조 심한편 트러블은 생리주기에 입주변에 올라오는정도 산뜻한 마무리감선호 이름이길어서 초록이 티트리 트러블패드 민트 마데카소사이드 흔적패드 부르겠습니다 초록이도 만족했는데 민트도 만족스러워욤 티트리패드 초록이랑 비교 1 수분감 민트초록이 민트가 패드에 에센스가 초록이 많이들어가 있어요 농도가 더 진해요 초록이가 묽은에센스라 더 느끼는거 같아욤 2 진정 민트 초록이 홍조는 초록이도 민트도 잘잡아줬어요 초록이를 두통째 쓰면서 느꼈지만 트러블 진정은 엄청드라마틱한 효과는 없었어요 저는 피부가 민감해졌을때 붉은끼완화에는 꽤나 만족했어요 민트의 트러블흔적 진정은 두통 써봐야 알거같네요 민트는 즉각적인 피부진정은 꽤나 만족스러워욤 3 속건조 민트초록이 저는 속건조때문에 이패드 사용하거든요 팩토하기좋아서 팩토하고 안하고가 생각보다 속건조 느끼는 차이가 크더라구요 아무래도 민트가 좀더 촉촉하고 무게감이 있어 초록이보다 잘잡아줘요 초록이는 가끔 스킨케어단계 대충하면 건조함을 느낄때가 있는데 민트가 속건조를 더 잘잡아주는거 같아요 4 향 둘다 이름그대로의 향이나요 초록이 티트리향 향이 약해서 크게 신경쓰이진않아요 민트 마데카소사이드 제품 특유의 향이나요 초록이보단 향이강한편이라 향에 민감하신 분들은 살짝 신경쓰일지도 모르겠네요 5마무리감 민트초록이 초록이가 깔끔산뜻 이느낌이라 흡수도 빠른편이고 민트는 살짝 아주살짝 덜산뜻해욤 깔끔한편이예요 정리 저는 봄가을겨울엔 민트 초록이는 여름에 잘쓸거같아요 솔직히 가을부터 초 겨울까지 초록이도 속건조 잘잡아줘서 잘썼는데 민트만나고 생각이 바뀌었습니다ㅋㅋㅋ 산뜻한거 좋아하시면 초록이로 사계절사용해도 좋아욤 메디힐 패드가 만족스러운 이유 저는 메디힐패드 제품만나고 새로운 습관이 생겼어요 헤어드라이기 사용하기 전에 꼭 메디힐 패드를 붙이고 사용하는건데요 스킨케어 다해도 드라이하면 열감 올라오고 건조하잖아요 그럼화장 안먹고ㅜㅠ 메디힐패드가 밀착력이 좋아서 이마쪽 말고는 드라이기할때 잘안떨어져요 패드 4장중에 2개 반 짤라서 얼굴 전체적으로 붙여주고 드라이기하면 건조하지도 않고 열감도 잘잡아줘서 인생팩토패드인거같아욤 거즈형 패드라 닦토보단 팩토추천합니다 재구매의사 있음 다음은 보라써보고 싶어요ㅋㅋ,"원래쓰던, 티트리",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
메디힐 마데카소사이드 흔적 패드 4통이나 비울 애용했는데 품절이라 마침 궁금했던 각질 패드 할인하길래 사봤어요 음 밀착이 하나도 안 돼서 패드 팩으로는 넘 부적합합니다 마데카소사이드는 거즈면처럼 되게 얇아서 피부에 잘 밀착되어서 떨어지거나 공기가 들어가지 않았는데 제품은 패드면이 두껍고두장 붙은건가하고 한참동안 떼려했습니다 힘이 있는 편이라 붙지가 않고 얼굴 굴곡 뜹니다 닦아내는 용으로만 사용해야하나봐요 사진에 제가 손바닥으로 꾹 누르고 찍었는데도 광대부분 밀착 안 되고 그다음 입 움직이니까 다 떼지려합니다 누워있는데도 붙어있는 느낌이 없어요 불편해요 닦는용으로는 괜찮을지몰라도 패드 팩으로 부착하기에는 비추입니다,"메디힐, 마데카소사이드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
배송은 일주일 오래 걸렸네요 항상 쓰던 패드라 괜찮습니다 행사땨는 꼭 사야지요,"배송은, 일주일",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
더운 여름철 냉장고에 넣어두고 열감오른 피부에 올려두고 메이크업하면 쫀쫀하게 잘 붙고 뜨지않고 잘 올라가더라구여 홍조있으신 분들이나 예민해서 열감이 쉽게 오르는 분들은 피부메이크업이 잘 안 먹는다고 생각 드시면 열감을 낮추고 피부메이크업을 해보시길,"더운, 여름철",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
주요 진정이 필요한 부위에 올려두었는데요 처음에는 아무런 느낌이 없다가 3분 지나자 저는 뭔가 자극감이 살짝 있긴했는데 따로 올라오거나 하진 않았어요 워낙에 피부에 트러블이 올라오면 흔적들이 오래가는 편인데요 얼마전 제주도에서 피부가 뒤집어진 상태가 남아있어서 이번에 메디힐 마데카소사이드 흔적 패드를 팩토로 사용하고 더 닦아주었는데요 촉촉하니 수분감을 주면서 깨끗한 피부결 상태를 만들어주더라구요,"주요, 진정이",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
주요 진정이 필요한 부위에 올려두었는데요 처음에는 아무런 느낌이 없다가 3분 지나자 저는 뭔가 자극감이 살짝 있긴했는데 따로 올라오거나 하진 않았어요 워낙에 피부에 트러블이 올라오면 흔적들이 오래가는 편인데요 얼마전 제주도에서 피부가 뒤집어진 상태가 남아있어서 이번에 메디힐 마데카소사이드 흔적 패드를 팩토로 사용하고 더 닦아주었는데요 촉촉하니 수분감을 주면서 깨끗한 피부결 상태를 만들어주더라구요,"주요, 진정이",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
수부지입니다 패드 면이 얇아서 5분 흡토하기 좋은 같아요 저는 수분 라인 스킨 바르고 뒤에 이걸로 흡토해줍니다 플레이브 샀는데 제품 자체도 좋아서 잘 쓰고있어요 초반에는 패드 떼냈는데 부분만 톤이 맑아져있어서 놀랐어요 수분 머금은 패드끼리 붙어있어서 집게로 솜 떼기가 불편한거 빼고는 다 좋습니다,"수부지입니다, 패드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
요즘은 스킨 스킵하고 이걸로 해결 악건성인 내 피부에 순하고 피부 윤기도 나게함 메디힐 패드도 써봤는데 패드 재질이 조금씩 다른데 워터가 젤 착붙이라 잘씀 이거 쓰기 시작한뒤로는 마스크팩 잘 안하게 됨,"요즘은, 스킨",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
가끔 생각날 때마다 하는데 나면 확실히 피부가 나아지는 느낌이에요 양도 많아서 부담없이 잘 쓰고 있습니당,"가끔, 생각날",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
제가 토너패드를 써봤지만 메디힐패드가 독보적으로 좋습니다 거즈면 같은 느낌인데 부드럽고 밀착력이 장난아니에요 닦토용으로도 좋은데 아침에 스킨팩으로 쓰기 넘 좋아요 진정에 좋은 마데카소사이드다 보니 쓰고 나먼 피부가 차분한 느낌이 들긴해요 ㅎ0ㅎ 왕만족,"제가, 토너패드를",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
이제품을 신제품순으로 구경할떄부터 뭐야 메디힐답지않게 단색에 깔끔한 외부디자인은 예상대로라면 링겔병에 담긴 패키지라도 나올법한데 이렇게나 깔쌈한 디자인이라구 사각패드라니 너무나 맘에들어하며 찜꽁했던 패드제품이였는데 저는 어제부터 올리브영데이니까 예도 당연히 할인들어가서 중복으로 할인이용하면 더싸게 살수있겠군하며 기대했는데 신제품이라그런가 할인이 안되어 있더라구요흐엉 할줄알았는데ㅠ 저는 한번도 안써본 신제품에도 리필팩으로 구매해왔는데요 좋앗던점 1넉넉한 크기의 패드사이즈와 빈틈없이 팩하기좋은 사각모양 2외부패키지가 이쁘다쿠쿠밥솥안에 있는 밥솥내부그릇끼우듯이 끼우면되는 디자인이였는데 리필 바꾸는패키지의 브랜드는 많지만 내심 새패드를 손으로 집어서 넣는것도 조금찝찝할수도 있지않을까했는데 어쩜 패드씰링부분에 손잡이같은 디자인에 위생적으로 제품에는 손안닿고 새리필을 바꿀수있다는 위생적인점 3압출하고 다서 팩을해도 뒤집히지않고 안색이 밝아지고 수분만땅의 초크초크함을 선사 4내부에 패드를집는 집게가 세상시원시원한 사이즈라서 집기 편안하다 개인적으로 더 바라는점 외부케이스가 굉장히 튼튼하니 리필팩만따로 팔아서 재활용할수있게 가능했음 좋겟다,"이제품을, 신제품순으로",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
합리적인 가격에 200매를 겟 했습니당 안에 있는 집게를 이용해서 위생적으로 패드를 한개씩 꺼낼 수 있는데요 섬세함 아주 좋아 굿 흔적패드가 진정효과랑 흔적케어에 좋다고 하더라구요 제가 트러블이 나는 피부이고 열도 오르는 피부라서 딱일꺼라는 생각이 들었어요 역시나 피부에 붙이자마자 시원함이 느껴지면서 촉촉함으로 수분감도 채워주고 씻고나와서 열감 오를때 화악 내려주더라구여 세안 후 닦토로 쓰거나 팩토로 쓰거나 상황에 사용하고 있는데 구매를 아주 잘한 같네오 에센스로 가득가득이라 목이랑 팔에도 발라주고 가성비가 아주 굿,"합리적인, 가격에",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
기획상품으로 나오거나 할인을 자주하니 구매하는걸 추천합니다 간편하게 꺼내서 사용하기 좋습니다,"기획상품으로, 나오거나",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
악건성 올영 블프때산 템들중 만족스러운듯합니다 늘 닦토를 해왔는데 슬슬 화장솜에 토너 끼얹기가 귀찮아져서 패드를 구입했어요 촉촉하고 양도 많아서 좋습니다 사진 보시면 에센스 흘러넘침 얼굴 다 닦아도 남아서 팩해도좋고 전 목까지 닦습니다 복합성인 동생도 마음에 든다고 지성이신 어머니만 촉촉을 넘어 축축이라며 별로라고 하시네요 ㅎ 전 지성이 못쓸정도가 돼야 좋은 악건성이라서 좋아요 기초제품은 유목민인데 여기엔 정착의사 높음 최고의 패드 주변에도 영업하는중 친구는 콜라겐샀는데 그건 어떨지 모르겠네요 후기 들으면 등록하러올게요,"악건성, 올영",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
마데카소 마스크팩도 개인적으로 잘 써서 패드로 구매해봤어요 적당한 에센스 양으로 머리 말릴 부분부분 붙여주기 괜찮았습니다 패드가 닦토용이라 얇은데도 밀착력이 좋진 않았고 좁은 부위는 접거나 가위로 잘라줘야 했어요ㅎㅎ 찢어지지 않습니다 패드는 거즈면 같은 느낌으로 살짝 거칠다는 느낌도 받았습니다 피부가 예민할 쓰면 자극적이다 느낄 같았고 일상적으로 쓰기에도 약간은 자극이 될 같긴 합니다 에센스 자체는 좋고 넓은 부위에 팩처럼 사용해주기도 좋았어요 구매는 안 할 듯 합니다ㅠ 패드면이 아쉬워요 집게 뻑뻑한데 패드 잘 집히지도 않아서 번 시도하다 버렸어요 리뉴얼이 필요해보입니다ㅠㅜ,"마데카소, 마스크팩도",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
그냥저냥 무난한 패드라서 재구매는 없을 같아요 닦토용으로 사용할 경우 일반적인 엠보면이나 순면 등이 아닌 거즈면이라 각질제거엔 탁월할 같습니다 피부가 예민할 경우 피부자극이 느껴지긴 했습니다 팩토로 사용할 경우도 마찬가지로 거즈면인지라 얇은편인데도 밀착력은 떨어지는 편이었습니다 잘 붙어있긴 굴곡진 부분엔 촥 붙어있지 않아서 아쉬웠어요 패드가 사각형이라서 팩토용으로 사용하긴 좋았고 에센스가 충분히 적셔져 있어서 촉촉한 것은 좋았습니다 같은 라인 콜라겐이 팩토용으로 적합해서 앞으론 콜라겐으로 구매할 듯 합니다ㅜ 집게가 아쉬워요 이렇게까지 안 집힐 수 있는지 모르겠어요ㅠ 집게도 바뀌면 좋겠고 마데카소사이드 라인도 패드가 매끈하게 바뀌면 잘 쓸 같아요,"그냥저냥, 무난한",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
각질 올라오고 홍조때문에 화장이 떠서 아침마다 패드를 늘 붙이는데 다른거 쓸땐 효과를 하나도 못봤는데 메디힐패드쓰고 화장빨 좋아졌어요ㅋㅋㅋ 요즘 올영에서 핫하던데 이유를 알것같기도 하네요 패드 질감도 좋아서 얼굴에 올렸을때 들뜸없이 잘붙어서 좋고 민감성이신 분들한테 추천드릴수 있을정도로 순해요 1등패드네요,"각질, 올라오고",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
메디힐 마데카소사이드 마스크팩을 좋아해서 패드 형태로도 나오면 좋겠다고 생각했는데 마침 더블 기획으로 마데카소사이드 패드가 나와서 구매했어요ㅎㅎ 제가 사용했던 마스크 패드는 보통 원형이었는데 메디힐 마데카소사이드 패드는 사각형의 얇은 시트로 되어있어요 얼굴에 붙일 밀착감이 아주 좋습니다 대신 패드는 닦토진정 용도 두 사용하기는 어려울 같고 진정용 팩으로만 사용이 가능할 같아요 사각형 모양의 패드여서 개인적으로 저는 더 좋았는데 원형 패드의 경우는 볼이나 이마를 완전히 덮어주지 못해서 아쉬웠거든요 사각형 패드여서 얼굴에 덮여지는 면적이 더 넓어지고 원형 사이 사이의 빈 곳이 줄어들어서 좋았어요 매일 머리 말리기 전에 패드를 붙여주거나 메이크업 하기 전 진정용으로 붙였다가 떼주기만 해도 화장이 더 잘 먹어서 마음에 드는 제품입니다,"메디힐, 마데카소사이드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
저는 존은 유분기가 있는 지성이고 볼쪽은 살짝 속건조가 있는 수부지 피부입니다 구매 계기 전에 쓰던 패드가 다 떨어졌는데 마침 오특에 있길래 구매해봤습니다 메디힐은 항상 마스크팩만 썼었고 패드는 처음 써보는데 제품 괜찮은 같아요 장점 용량이 많고 가격이 엄청나게 비싸지는 않다는게 장점이라고 생각합니다 마스크팩 쓸때부터 느꼈지만 브랜드 제품들이 전반적으로 자극적이지 않고 순한 같아요 닦토하기도 좋고 머리말릴때 붙여두기도 좋은 두루두루 잘 쓸 수 있는 제품입니다 솜이 머금고 있는 액체의 양도 적당한 같아요 얼굴에 열 올랐을 냉장고에 넣어뒀다가 얹어주면 진정도 되어서 좋았어요 저는 다쓰면 재구매 의사 있습니다,"저는, 존은",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
메디힐 마데카소사이드 흔적 패드 본인 피부 상태 건성 모공요철 여드름여드름자국 뾰루지 한줄평 피부 진정을 잘 시켜주고 피부가 좋아진다 장점 피부가 매끈해진다 집게가 있어 집기 편하다 에센스가 들어있다 피부진정이 잘 된다 쓰다보면 요철과 좁쌀여드름도 사라진다 단점 집게가 뚜껑에서 잘 떨어진다 포장 뜯기가 어렵다칼로 뜯거나 하루종일 매달려있어야함 느낀점 이것도 두통째 쓰는데 피부가 좋아진게 보이고 이번에 볼에 뾰루지가 나서 스트레스 받았는데 이거 쓰니까 빨리 가라앉았다 이마에 있는 좁쌉이랑 눈 밑에 있던 요철도 점점 사라지고 있다,"메디힐, 마데카소사이드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
밀착도 잘 되고 밤에 팩처럼 자면 화잘먹 피부 완성입니다 집게가 한장만 잘 안 집혀서 불편했어요,"밀착도, 되고",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
에센스양도 많고 얇아서 좋아요 팩으로 대신 사용ㅎ해도 굿 닥토로 사용하기엔 자극되는 느낌이라 살살해줍니다,"에센스양도, 많고",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정",마스크
바이오던스는 인생 마스크팩인거 같아요 3달 사용 후 리뷰 입니다 여드름 엄청심해서 피부과에서 케어도 받아보고 약도 먹어보고 피부 재생 시술도 받아봤는데요 일시적이었지 한번도 깨끗하게 없어졌다란 느낌을 받아본 적이 없었습니다 사진에서 보시더 싶이 저런 피부 상태에서 현재에는 피부에서 광난다는 소리를 들어면서 살고 있어요 팩 자주할때 이틀에 평소엔 삼일에 한번으로 해줬어요 한달째 쯤에 피부가 말끔해지더라고요 두달부터는 라로슈포제 밤을 바르고 붙였는데 광이 나더라고요 지금은 이주에 한번씩 있는데 피부가 좋아져서 팩은 콜라겐이지만 여드름 피부도 좋아진게 신기하네요 추가적으로 나이트 케어 귀찮아 하시는분들 크림 바르고 붙여주면 끝이에요 간편하죠,"바이오던스는, 인생",바이오던스 바이오 콜라겐 리얼 딥 마스크,"복합성, 건성","보습, 진정, 탄력",마스크
